0.863,1.8443,8,0.6294,1.8436,1.3195,0.0001,1,0
0.8562,1.2853,8,0.6703,1.0646,1.3122,0.0001,1,0
0.854,1.8314,8,0.6757,1.1963,1.3191,0.0001,1,0
0.8119,1.919,8,0.6275,0.512,1.3699,0.0001,1,0
0.8952,1.8301,8,1,1.1966,1.5,0.0001,1,0
0.9986,1.3627,8,1,1.4222,1.5,0.0001,1,0
0.8944,1.8241,8,1,1.1958,1.3193,0.0001,1,0
0.9599,1.324,8,0.6878,1.4567,1.3928,0.0001,1,0
0.9986,1.3588,8,1,1.4334,1.5,0.0001,1,0
0.8588,1.3007,8,1,1.1304,1.3115,0.0001,1,0
1,1.518,8,1,0.9731,1.2884,0.0001,1,0
0.8516,0.524,8,0.62,1.8307,1.1773,0.0001,1,0
0.8952,1.8303,8,1,1.1958,1.3146,0.0001,1,0
0.8654,1.5839,9.2792,1,1.1767,1.5,0.0001,1,0
0.909,2,8,0.4266,1.819,1.3116,0.0001,1,0
0.8538,1.8577,8,0.8738,1.1814,1.3236,0.0001,1,0
0.8516,0.4913,8,0.6186,1.8466,1.3227,0.0001,1,0
1,1.9736,8,1,1.2196,1.3287,0.0001,1,0
0.8654,1.5895,11.682,0.8432,0.7555,1.5,0.0001,1,0
0.8952,1.821,8,1,1.2009,1.322,0.0001,1,0
0.9604,1.3064,8,0.692,1.4243,1.3921,0.0002,1,0
0.8614,0.7798,8,0.869,1.7929,1.1408,0.0002,1,0
0.8928,1.2935,8,0.7971,1.1894,1.3173,0.0002,1,0
0.8413,1.6448,8,0.7857,1.8175,1.4202,0.0002,1,0
